Time,Source,Label,Confidence
18:55:36,Camera,Juice Global Village pineapple,0.01
18:55:36,Camera,Juice Global Village pineapple,0.01
18:55:36,Camera,Juice Global Village pineapple,0.01
18:55:36,Camera,Juice Global Village pineapple,0.01
18:55:36,Camera,Juice Global Village pineapple,0.01
18:55:36,Camera,Juice Global Village pineapple,0.01
18:55:36,Camera,Juice Global Village pineapple,0.01
18:55:36,Camera,Juice Global Village pineapple,0.01
18:55:36,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.02
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.02
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.01
18:55:37,Camera,Juice Global Village pineapple,0.02
18:55:37,Camera,Juice Global Village pineapple,0.02
18:55:38,Camera,Juice Global Village pineapple,0.02
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.02
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.02
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.02
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.02
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.02
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:38,Camera,Juice Global Village pineapple,0.01
18:55:39,Camera,Juice Global Village pineapple,0.01
